throughput,blocks_completed,ships_delivered,total_reward,steps,sim_time,wall_time_s,config,agent,seed
0.051759834368530024,50,1,964.9999999999991,966,966.0,0.7175127910450101,small_instance,Expert,0
0.05500550055005501,50,1,964.9999999999997,909,909.0,0.6709814579226077,small_instance,Expert,1
0.05149330587023687,50,1,964.9999999999993,971,971.0,0.6346702500013635,small_instance,Expert,2
0.05411255411255411,50,1,964.9999999999992,924,924.0,0.5807670829817653,small_instance,Expert,3
0.05149330587023687,50,1,964.999999999999,971,971.0,0.7319635839667171,small_instance,Expert,4
0.05807200929152149,50,1,964.9999999999998,861,861.0,0.4616088329348713,small_instance,MPC,0
0.05417118093174431,50,1,964.9999999999998,923,923.0,0.5041657079709694,small_instance,MPC,1
0.05241090146750524,50,1,964.9999999999995,954,954.0,0.49785491707734764,small_instance,MPC,2
0.055741360089186176,50,1,964.9999999999997,897,897.0,0.4809936670353636,small_instance,MPC,3
0.05518763796909492,50,1,964.9999999999995,906,906.0,0.5509647079743445,small_instance,MPC,4
0.057736720554272515,50,1,964.9999999999998,866,866.0,107.09351462498307,small_instance,GA,0
0.0589622641509434,50,1,964.9999999999997,848,848.0,103.33097858401015,small_instance,GA,1
0.05701254275940707,50,1,964.9999999999995,877,877.0,103.58653545798734,small_instance,GA,2
0.058004640371229696,50,1,964.9999999999997,862,862.0,103.20433716708794,small_instance,GA,3
0.056433408577878104,50,1,964.9999999999995,886,886.0,101.71574566699564,small_instance,GA,4
0.111,111,0,1021.2999999999869,1000,1000.0,3.3298559999093413,medium_hhi,Expert,0
0.11,110,0,1011.2999999999867,1000,1000.0,3.3369478749809787,medium_hhi,Expert,1
0.11,110,0,1011.299999999987,1000,1000.0,3.225442665978335,medium_hhi,Expert,2
0.11,110,0,1011.2999999999869,1000,1000.0,3.4307000000262633,medium_hhi,Expert,3
0.113,113,0,1041.5999999999876,1000,1000.0,3.340722833061591,medium_hhi,Expert,4
0.023,23,0,132.60000000000107,1000,1000.0,1.8192387080052868,medium_hhi,MPC,0
0.024,24,0,142.700000000001,1000,1000.0,1.7315766250248998,medium_hhi,MPC,1
0.025,25,0,152.80000000000106,1000,1000.0,1.7914133749436587,medium_hhi,MPC,2
0.025,25,0,152.80000000000106,1000,1000.0,1.7905239169485867,medium_hhi,MPC,3
0.022,22,0,122.50000000000098,1000,1000.0,1.867245625006035,medium_hhi,MPC,4
0.012,12,0,56.099999999999376,1000,1000.0,969.8747058750596,medium_hhi,GA,0
0.006,6,0,-2.800000000000612,1000,1000.0,993.7206869169604,medium_hhi,GA,1
0.015,15,0,86.29999999999937,1000,1000.0,908.6462245410075,medium_hhi,GA,2
0.019,19,0,121.59999999999953,1000,1000.0,1026.0835345420055,medium_hhi,GA,3
0.008,8,0,16.499999999999375,1000,1000.0,1213.1347449999303,medium_hhi,GA,4
