throughput,blocks_completed,ships_delivered,total_reward,steps,sim_time,wall_time_s,config,agent,seed
0.047619047619047616,50,1,964.8252024824778,1050,1050.0,0.4524713749997318,small_instance,Expert,0
0.04557885141294439,50,1,964.7104306813014,1097,1097.0,0.45514924998860806,small_instance,Expert,1
0.04655493482309125,50,1,964.7457416939267,1074,1074.0,0.4742425419972278,small_instance,Expert,2
0.05393743257820928,50,1,964.8433045354967,927,927.0,0.4276457499945536,small_instance,Expert,3
0.05128205128205128,50,1,964.6184627184971,975,975.0,0.43037720798747614,small_instance,Expert,4
0.049358341559723594,50,1,964.8658868603313,1013,1013.0,0.5656791669898666,small_instance,MPC,0
0.05065856129685917,50,1,964.7579584236013,987,987.0,0.3623867919668555,small_instance,MPC,1
0.045454545454545456,50,1,964.8352187416567,1100,1100.0,0.5372644999879412,small_instance,MPC,2
0.049850448654037885,50,1,964.7632572720216,1003,1003.0,0.42844741605222225,small_instance,MPC,3
0.04995004995004995,50,1,964.9927062915204,1001,1001.0,0.4282840419909917,small_instance,MPC,4
0.1,200,1,2360.000000000032,2000,2000.0,3.49535158398794,medium_hhi,Expert,0
0.1,200,1,2360.0000000000323,2000,2000.0,4.711440375016537,medium_hhi,Expert,1
0.1,200,1,2360.000000000032,2000,2000.0,5.742265707987826,medium_hhi,Expert,2
0.1,200,1,2360.0000000000314,2000,2000.0,7.046456624986604,medium_hhi,Expert,3
0.1,200,1,2360.0000000000337,2000,2000.0,5.01780512498226,medium_hhi,Expert,4
0.031,62,0,508.2999999999994,2000,2000.0,2.3984488339629024,medium_hhi,MPC,0
0.032,64,0,528.8999999999993,2000,2000.0,2.337124582962133,medium_hhi,MPC,1
0.0365,73,0,615.9999999999984,2000,2000.0,2.2878961249953136,medium_hhi,MPC,2
0.036,72,0,604.9999999999986,2000,2000.0,2.290557667030953,medium_hhi,MPC,3
0.0385,77,0,653.599999999998,2000,2000.0,2.4188290419988334,medium_hhi,MPC,4
0.0536,50,1,965.0,1013,1013.0,143.4,small_instance,GA,0
0.0500,50,0,965.0,1000,1000.0,152.0,small_instance,GA,1
0.0516,50,1,965.0,969,969.0,154.2,small_instance,GA,2
0.0500,50,0,965.0,1000,1000.0,160.2,small_instance,GA,3
0.0500,50,0,965.0,1000,1000.0,166.9,small_instance,GA,4
